query,result_size,documents
Clemente Mastella is politician of  Italy,2,"<div>
<p>
  <b><a href=""apps.evemilano.com/entities/?query=sergio+mattarella"">Sergio Mattarella and 90 related entities | Entities Finder</a></b>
  <br/>
Sergio Mattarella President &#57344;of Italy&#57345;. Desc: Sergio Mattarella OMRI, OMCA is an Italian &#57344;politician&#57345;, lawyer and judge serving as the 12th and current President &#57344;of Italy&#57345; since 2015.
  <br/>
  <b><a href=""apps.evemilano.com/entities/?query=sergio+mattarella"">apps.evemilano.com/entities/?query=sergio+mattarella</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""waatp.com/people/gary-w-clemente/33169830"">Who is &#57344;Gary W Clemente&#57345; - (718) 376-0527 - Brooklyn - NY ...</a></b>
  <br/>
Who is &#57344;Gary W Clemente&#57345; - (718) 376-0527 - Brooklyn - NY - waatp.com.See also &#57344;Gary W Clemente&#57345;: pictures, social networks profiles, videos, weblinks, at blogs, at news, books, microblogs profiles
  <br/>
  <b><a href=""waatp.com/people/gary-w-clemente/33169830"">waatp.com/people/gary-w-clemente/33169830</a></b>
  </p>
</div>
"
Ulises Francisco Espaillat is politician of  Dominican Republic,2,"<div>
<p>
  <b><a href=""www.revolvy.com/main/index.php?s=Adriano Espaillat"">&#57344;Adriano Espaillat&#57345; - Revolvy</a></b>
  <br/>
Adriano D. &#57344;Espaillat&#57345; Cabral (born September 27, 1954) is a &#57344;Dominican&#57345;-American &#57344;politician&#57345;. He is the U.S. Representative for New York's 13th congressional district and the first formerly undocumented immigrant to ever serve in Congress.
  <br/>
  <b><a href=""www.revolvy.com/main/index.php?s=Adriano Espaillat"">www.revolvy.com/main/index.php?s=Adriano Espaillat</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""wikivisually.com/wiki/Mao,_Dominican_Republic"">Mao, &#57344;Dominican&#57345; &#57344;Republic&#57345; - WikiVisually</a></b>
  <br/>
The entire wikipedia with video and photo galleries for each article. Find something interesting to watch in seconds.
  <br/>
  <b><a href=""wikivisually.com/wiki/Mao,_Dominican_Republic"">wikivisually.com/wiki/Mao,_Dominican_Republic</a></b>
  </p>
</div>
"
Umaru Tanko Al- Makura is politician of  Nasarawa State,4,"<div>
<p>
  <b><a href=""https://www.facebook.com/Nasarawa-State-Universal-Basic-Education..."">&#57344;Nasarawa State Universal Basic Education Board - Nsubeb&#57345; ...</a></b>
  <br/>
&#57344;Nasarawa State Universal Basic Education Board - Nsubeb&#57345;. 246 likes &middot; 26 talking about this. Education
  <br/>
  <b><a href=""https://www.facebook.com/Nasarawa-State-Universal-Basic-Education..."">https://www.facebook.com/Nasarawa-State-Universal-Basic-Education...</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://seunfakze.wordpress.com/2012/06"">June | 2012 | &#57344;A New Nigeria&#57345;</a></b>
  <br/>
&#57344;A New Nigeria&#57345;. raising standards, impacting lives. Home; jump to navigation. #SaveOke: BACK &amp; BETTER June 30, 2012 Posted by seunfakze in MOTIVATION.
  <br/>
  <b><a href=""https://seunfakze.wordpress.com/2012/06"">https://seunfakze.wordpress.com/2012/06</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.facebook.com/Taal-and-Agara-Students-Support-Group..."">Ta'&#57344;al&#57345; &#57344;and Agara Students Support Group - Tassug&#57345; - Home ...</a></b>
  <br/>
Ta'&#57344;al&#57345; &#57344;and Agara Students Support Group - Tassug&#57345;, Lafia Beriberi, Nassarawa, Nigeria. 788 likes &middot; 1 talking about this. &#57344;Politician&#57345;
  <br/>
  <b><a href=""https://www.facebook.com/Taal-and-Agara-Students-Support-Group..."">https://www.facebook.com/Taal-and-Agara-Students-Support-Group...</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://seunfakze.wordpress.com/2012/page/5"">2012 | &#57344;A New Nigeria&#57345; | Page 5</a></b>
  <br/>
&#57344;A New Nigeria&#57345;. raising standards, impacting lives. Home; jump to navigation. AWAKENING THE SLEEPING GIANT: MAKING NIGERIA WORK AGAIN (V) by Prof @ayittey July 7, 2012
  <br/>
  <b><a href=""https://seunfakze.wordpress.com/2012/page/5"">https://seunfakze.wordpress.com/2012/page/5</a></b>
  </p>
</div>
"
Arthur Cornforth is politician of  Colorado,1,"<div>
<p>
  <b><a href=""self.gutenberg.org/articles/eng/Lieutenant_Governor_of_Colorado"">Lieutenant Governor &#57344;of Colorado&#57345; | Project Gutenberg Self ...</a></b>
  <br/>
Project Gutenberg Self-Publishing - eBooks . Flag as Inappropriate ...
  <br/>
  <b><a href=""self.gutenberg.org/articles/eng/Lieutenant_Governor_of_Colorado"">self.gutenberg.org/articles/eng/Lieutenant_Governor_of_Colorado</a></b>
  </p>
</div>
"
Prem Bahadur Singh is politician of  Nepal,3,"<div>
<p>
  <b><a href=""https://broom02.revolvy.com/topic/Nepali Janata Dal&item_type=topic"">&#57344;Nepali Janata Dal&#57345; - Revolvy</a></b>
  <br/>
&#57344;Nepali Janata Dal&#57345; is a political party in &#57344;Nepal&#57345; . The party was established in 1995 as the United People's Party . The party identifies itself as progressive , nationalist and socialist .
  <br/>
  <b><a href=""https://broom02.revolvy.com/topic/Nepali Janata Dal&item_type=topic"">https://broom02.revolvy.com/topic/Nepali Janata Dal&item_type=topic</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.revolvy.com/topic/Maya Burman"">&#57344;Maya Burman&#57345; - Revolvy</a></b>
  <br/>
&#57344;Maya Burman&#57345; (born 1971) is a contemporary artist of Indian parentage living in France . Biography Burman was born in Paris and brought up in France .
  <br/>
  <b><a href=""https://www.revolvy.com/topic/Maya Burman"">https://www.revolvy.com/topic/Maya Burman</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""studylib.net/doc/9551989/dedicated-to-all-nepali-speaking-women-with"">&#57344;Dedicated to All Nepali Speaking women with&#57345; - studylib.net</a></b>
  <br/>
Women Writers &#57344;of Nepal&#57345; (Profiles and Perspectives) Women Writers &#57344;of Nepal&#57345; Profiles and Perspective) (Dates and Data Adopted fromNarichuli of Narendara Raj Prasai) Jagadish Rana Rajesh Rana Publications Shimla First published, 1 January 2011 &copy; Jagadish Rana Publisher: Rajesh Rana Publications Yodha Niwas Shimla 171001, Himachal Pradesh (India ...
  <br/>
  <b><a href=""studylib.net/doc/9551989/dedicated-to-all-nepali-speaking-women-with"">studylib.net/doc/9551989/dedicated-to-all-nepali-speaking-women-with</a></b>
  </p>
</div>
"
Melvin H. Evans is politician of  United States Virgin Islands,4,"<div>
<p>
  <b><a href=""https://www.revolvy.com/topic/Alexander Evans (American politician)"">&#57344;Alexander Evans (American politician&#57345;) - Revolvy</a></b>
  <br/>
&#57344;Alexander Evans (American politician&#57345;) Save. Alexander &#57344;Evans&#57345; (September 13, 1818 &ndash; December 5, 1888) was a U.S. Representative from Maryland.
  <br/>
  <b><a href=""https://www.revolvy.com/topic/Alexander Evans (American politician)"">https://www.revolvy.com/topic/Alexander Evans (American politician)</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://topics.revolvy.com/topic/Herbert M. Evans&item_type=topic"">&#57344;Herbert M. Evans&#57345; - Trivia Quizzes | Revolvy</a></b>
  <br/>
Herbert McLean &#57344;Evans&#57345; (September 23, 1882 &ndash; March 6, 1971) was a U.S. anatomist and embryologist . Education He was born in Modesto, California . In 1908, he obtained his medical degree from Johns Hopkins University .
  <br/>
  <b><a href=""https://topics.revolvy.com/topic/Herbert M. Evans&item_type=topic"">https://topics.revolvy.com/topic/Herbert M. Evans&item_type=topic</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""wikivisually.com/wiki/Black_conservatism_in_the_United_States"">Black conservatism in the &#57344;United&#57345; &#57344;States&#57345; - WikiVisually</a></b>
  <br/>
The entire wikipedia with video and photo galleries for each article. Find something interesting to watch in seconds.
  <br/>
  <b><a href=""wikivisually.com/wiki/Black_conservatism_in_the_United_States"">wikivisually.com/wiki/Black_conservatism_in_the_United_States</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""wikivisually.com/wiki/List_of_people_with_surname_Evans"">&#57344;List of people with surname Evans&#57345; - WikiVisually</a></b>
  <br/>
The entire wikipedia with video and photo galleries for each article. Find something interesting to watch in seconds.
  <br/>
  <b><a href=""wikivisually.com/wiki/List_of_people_with_surname_Evans"">wikivisually.com/wiki/List_of_people_with_surname_Evans</a></b>
  </p>
</div>
"
Ali Hassan al- Majid is politician of  Iraq,1,"<div>
<p>
  <b><a href=""waatp.com/people/ali-nouri/1891107"">Who is &#57344;Ali Nouri&#57345; - (604) 552-2761 - Coquitlam - BC - waatp.com</a></b>
  <br/>
Who is &#57344;Ali Nouri&#57345; - (604) 552-2761 - Coquitlam - BC - waatp.com.See also &#57344;Ali Nouri&#57345;: pictures, social networks profiles, videos, weblinks, at blogs, at news, books, microblogs profiles
  <br/>
  <b><a href=""waatp.com/people/ali-nouri/1891107"">waatp.com/people/ali-nouri/1891107</a></b>
  </p>
</div>
"
Nazim Ibrahimov is politician of  Azerbaijan,2,"<div>
<p>
  <b><a href=""wikivisually.com/wiki/File:Azerbaijan_politic_personality_icon.svg"">File:&#57344;Azerbaijan&#57345; politic personality icon.svg - WikiVisually</a></b>
  <br/>
The entire wikipedia with video and photo galleries for each article. Find something interesting to watch in seconds.
  <br/>
  <b><a href=""wikivisually.com/wiki/File:Azerbaijan_politic_personality_icon.svg"">wikivisually.com/wiki/File:Azerbaijan_politic_personality_icon.svg</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.revolvy.com/topic/Azerbaijan National Independence Party"">&#57344;Azerbaijan National Independence Party&#57345; - Revolvy</a></b>
  <br/>
&#57344;Azerbaijan National Independence Party&#57345; topic. The National Independence Party &#57344;of Azerbaijan&#57345; NIPA ( Azerbaijani : Az&#601;rbaycan Milli &#304;stiqlal Partiyas&#305; ) is a centre-right political party in &#57344;Azerbaijan&#57345; .
  <br/>
  <b><a href=""https://www.revolvy.com/topic/Azerbaijan National Independence Party"">https://www.revolvy.com/topic/Azerbaijan National Independence Party</a></b>
  </p>
</div>
"
Joshua G. Newbold is politician of  Iowa,4,"<div>
<p>
  <b><a href=""https://www.revolvy.com/topic/Newbold Morris"">&#57344;Newbold Morris&#57345; - Revolvy</a></b>
  <br/>
&#57344;Newbold Morris&#57345; (February 2, 1902 &ndash; March 30, 1966) was an American &#57344;politician&#57345;, lawyer, president of the New York City Council , and two-time candidate for mayor of New York City .
  <br/>
  <b><a href=""https://www.revolvy.com/topic/Newbold Morris"">https://www.revolvy.com/topic/Newbold Morris</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.revolvy.com/main/index.php?s=Walton Newbold&item_type..."">&#57344;Walton Newbold&#57345; - Revolvy</a></b>
  <br/>
John Turner &#57344;Walton Newbold&#57345; (8 May 1888&ndash;20 February 1943), known as &#57344;Walton Newbold&#57345; , was the first of the four Communist Party of Great Britain members to be elected as MPs in the United Kingdom .
  <br/>
  <b><a href=""https://www.revolvy.com/main/index.php?s=Walton Newbold&item_type..."">https://www.revolvy.com/main/index.php?s=Walton Newbold&item_type...</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://archive.org/stream/biographicalhist00wsdu/biographicalhist..."">Full text of &quot;Biographical history of Shelby and Audubon ...</a></b>
  <br/>
Full text of &quot;Biographical history of Shelby and Audubon counties, &#57344;Iowa&#57345;.Containing portraits of all the presidents of the United States from Washington to Harrison, with accompanying biographies of each; portraits and biographies of the governors of the state; engravings of prominent citizens in Shelby and Audubon counties, with personal ...
  <br/>
  <b><a href=""https://archive.org/stream/biographicalhist00wsdu/biographicalhist..."">https://archive.org/stream/biographicalhist00wsdu/biographicalhist...</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://archive.org/stream/biographicalhist00lewi/biographicalhist..."">Full text of &quot;Biographical and historical record of Greene ...</a></b>
  <br/>
Full text of &quot;Biographical and historical record of Greene and Carroll counties, &#57344;Iowa&#57345;.Containing portraits of all the presidents of the United States from Washington to Cleveland, with accompanying biographies of each; portraits and biographies of the governors of the state ... and a concise history of the two counties and their cities and ...
  <br/>
  <b><a href=""https://archive.org/stream/biographicalhist00lewi/biographicalhist..."">https://archive.org/stream/biographicalhist00lewi/biographicalhist...</a></b>
  </p>
</div>
"
Hendrik Verwoerd is politician of  South Africa,5,"<div>
<p>
  <b><a href=""https://www.veteranstoday.com/2017/06/30/get-out-now-and-spitting..."">Get &#57344;Out Now! And Spitting Cobras An&#57345;&rsquo;All - &#57344;Veterans Today&#57345; ...</a></b>
  <br/>
I recently received a very kind offer from an American friend and fellow journalist. He is most concerned about my safety in &#57344;South&#57345; &#57344;Africa&#57345;.
  <br/>
  <b><a href=""https://www.veteranstoday.com/2017/06/30/get-out-now-and-spitting..."">https://www.veteranstoday.com/2017/06/30/get-out-now-and-spitting...</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://theinternationalreporter.org/2017/06/30/get-out-now-and..."">Get &#57344;Out Now! And Spitting Cobras An&#57345;&rsquo;All</a></b>
  <br/>
Get &#57344;Out Now! And Spitting Cobras An&#57345;&rsquo;All. Editor / June 30, 2017. by Katherine Frisk: I recently received a very kind offer from an American friend and fellow journalist. He is most concerned about my safety in &#57344;South&#57345; &#57344;Africa&#57345;. I would like to share it with you, however, I will not include his name out of consideration for his privacy. He writes: Dear Katherine, This email is from your fellow ..
  <br/>
  <b><a href=""https://theinternationalreporter.org/2017/06/30/get-out-now-and..."">https://theinternationalreporter.org/2017/06/30/get-out-now-and...</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.scribd.com/document/135068315/Butler-Et-Al-The-Black..."">Butler Et Al_&#57344;The Black Homelands of South Africa&#57345; | &#57344;South&#57345; ...</a></b>
  <br/>
Preferred Citation: Butler, Jeffrey, Robert I. Rotberg, and John Adams &#57344;The Black Homelands of South Africa&#57345;: The Political and Economic Development of Bophuthtswana and Kwa-Zulu.
  <br/>
  <b><a href=""https://www.scribd.com/document/135068315/Butler-Et-Al-The-Black..."">https://www.scribd.com/document/135068315/Butler-Et-Al-The-Black...</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.revolvy.com/topic/Gene Louw"">&#57344;Gene Louw&#57345; - revolvy.com</a></b>
  <br/>
&#57344;Gene Louw&#57345; . Save. Eugene Louw, born 15 July 1931, is a &#57344;South&#57345; African &#57344;politician&#57345;, member of the National Party, MP for Durbanville and Paarl, who was administrator for Cape Province (1979&ndash;1989), Minister of Home Affairs [1] (1989&ndash;1992), National Education (1989&ndash;1990), Public Works (1992&ndash;1993) and Defence (1992&ndash;1993) in the F.W. de Klerk government. Louw retired from political life in ...
  <br/>
  <b><a href=""https://www.revolvy.com/topic/Gene Louw"">https://www.revolvy.com/topic/Gene Louw</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://sawriter.wordpress.com/2010/02"">&#57344;February | 2010&#57345; | Craig's Books</a></b>
  <br/>
5 posts published by craig lock during &#57344;February 2010&#57345;
  <br/>
  <b><a href=""https://sawriter.wordpress.com/2010/02"">https://sawriter.wordpress.com/2010/02</a></b>
  </p>
</div>
"
